	ID	Team	Dataset #	Toolbox used	Quality/Pruning: Method	Quality/Pruning: Default Parameters?	Quality/Pruning: Parameters Used	Data quality/pruning: Default	Quality/Pruning: Method: Notes	Quality/Pruning: Total #CH pruned	Quality/Pruning: Total #Sbj pruned	Motion Artifact Method	Motion Artifact Correction: Default Parameters?	Motion Artifact Correction: Parameters Used	Motion Artifact: Notes	Motion Artifact Rejection	"Motion Artifact Rejection: Total Rejected (#Trials; #Subjects) copy"	Resample/Downsample (Hz)	Filtering	"Filtering Cutoff (Hz_cutoff; type; order)"	"Filtering (type; order)"	Did you use Default Parameters for your Filters?	Filtered Signal	Removal of the Global Signals during Preprocessing	MBLL DPF/PPF	Non-GLM: Method	Non-GLM: Notes	GLM: Method	GLM AR Order	GLM: Method: Notes	GLM: HRF Regressor	GLM: HRF Regressor: Notes	GLM: Other Regressors	GLM: Other Regressors: Notes	Stat Analysis: Software	Stat Analysis: Method	Stat Analysis: On Signal Type	Stat Analysis: Signal Space	Channel Selection Method	Channel Selection	ROI Method	Stat Analysis: Metric	Test for Normality	Outlier Removal	"Stat Analysis: Sample Size after rejections (#Channels; #Subjects)"	Stat Analysis: Threshold (p< X)	Multiple Comparisons Correction	Other Comments	Block Averaging: Window time range	Block Averaging: Modifiers	How confident are you with your fNIRS signal analysis skills	Contributors	Analysis Confidence	Results confidence	Other	Other copy	Other copy copy	Other copy copy copy	Block Averaging: Detrending: Other	Other Regressor	Other Stats Software	Other Stats Method	Other Stats Metric	Did you use Default Parameters for AR model order?
Study 1	33	TomosapiensV2	1	Custom: Matlab,NeuroDOT,NIRFAST(ER),Other	PSP (Cardiac Power Spectrum Peak),SNR Threshold,Visual Inspection of Time Domain,Other		SNR_thresh = 0.75	checked	No subjects were excluded but a maximum of 8 channels were removed per subject. DQ measures such as pulse SNR and GVTD were visualized but these were not used to remove subjects from the final analysis. 		0	N/A							LowPass,HighPass	"f_hp = 0.02; f_lp = 1.0"	filter_order = 5	checked	OD	Other	N/A	GLM	We compared the results from GLM and also Block Averaging separately	OLS (Ordinary Least Squares)		We considered two methods, modelling all instances of a single event type in a single column vs.  modelling each event as a separate column. The latter approach followed by combining the beta maps for statistics provided relatively better results.	Default	HRF was made using a two-gamma function fitted to the in vivo HD-DOT data, as referenced in Hassanpour et.al 2014 (https://doi.org/10.1016/j.neuroimage.2013.05.105 )			Matlab	One-Sample t-Test,Two-Sample t-Test	HbO only	Image,ROI			ROI selection was based on the estimated overlap of the areas under the channel pairs for bilateral auditory, occipital, and left frontal regions listed in Luke.et.al 2021 and our flat field reconstruction of the sensitivity profile. Each ROI was generated using 2 to 3 seeds of radius 40 mm. Larger ROIs were chosen deliberately given the sparse coverage of the fNIRs cap.	beta values provided by GLM	N/A			0.05	None		[-5 12]	Detrending		"Aahana Bajracharya (Team Management; Auditory dataset preprocessing; post-processing; Literature discussion; Addressing research questions; Reporting)
Arefeh Sherafati (Auditory dataset preprocessing; post-processing; Literature discussion; Addressing research questions; Reporting)
Chen-Hao Lin (Motor dataset preprocessing; post-processing; Literature discussion; Addressing research questions; Reporting)
Dalin Yang (Motor dataset preprocessing; post-processing; Literature discussion; Addressing research questions; Reporting)
Ari Segel (Dataset preparation; Pre-processing support; Literature discussion; Metadata compilation; Reporting)
Emma Speh (Dataset preparation; Pre-processing support; Literature discussion; Metadata compilation; Reporting)
Jonathan Peelle (Literature discussion; Analysis methods; Addressing research questions)
Adam Eggebrecht (Literature discussion; Analysis methods; Addressing research questions)"	5	3	SNIRF toolbox	Removing nearest neighbors that are > 40mm apart		Superficial signal regression of channels between 1-15 mm separation						
Study 2	33	TomosapiensV2	2	Custom: Matlab,NeuroDOT,NIRFAST(ER),Other	PSP (Cardiac Power Spectrum Peak),SNR Threshold,Visual Inspection of Time Domain,Other			checked	No subjects were excluded but a maximum of 7 channels were removed per subject. DQ measures such as pulse SNR and GVTD were visualized but these were not used to remove subjects from the final analysis.		0	N/A						1	HighPass,LowPass	"f_hp = 0.02; f_lp = 1.0"	filter_order = 5	checked	OD	Other	N/A	GLM	We used block averaging for preliminary visualization of the HRF	OLS (Ordinary Least Squares)		We considered two methods, modelling all instances of a single event type in a single column vs.  modelling each event as a separate column. The latter approach followed by combining the beta maps for statistics provided relatively better results.	Default	HRF was made using a two-gamma function fitted to the in vivo HD-DOT data, as referenced in Hassanpour et.al 2014 (https://doi.org/10.1016/j.neuroimage.2013.05.105)			Matlab	Other	HbO only	Image,ROI			Based on Novi et al., 2020 paper for 20 seed regions (10 seeds for each hemisphere) within the motor cortex (i.e., precentral, and postcentral motor gyrus) and used a kernel function with a 5 mm radius (the size of each seed is 10 mm)	beta values provided by GLM	N/A			0.001	N/A		"[0 12]; [0 13]"	Detrending		"Aahana Bajracharya (Team Management; Auditory dataset preprocessing; post-processing; Literature discussion; Addressing research questions; Reporting)
Arefeh Sherafati (Auditory dataset preprocessing; post-processing; Literature discussion; Addressing research questions; Reporting)
Chen-Hao Lin (Motor dataset preprocessing; post-processing; Literature discussion; Addressing research questions; Reporting)
Dalin Yang (Motor dataset preprocessing; post-processing; Literature discussion; Addressing research questions; Reporting)
Ari Segel (Dataset preparation; Pre-processing support; Literature discussion; Metadata compilation; Reporting)
Emma Speh (Dataset preparation; Pre-processing support; Literature discussion; Metadata compilation; Reporting)
Jonathan Peelle (Literature discussion; Analysis methods; Addressing research questions)
Adam Eggebrecht (Literature discussion; Analysis methods; Addressing research questions)"	5	4	SNIRF toolbox	Removing nearest neighbors that are > 40mm apart		Superficial signal regression of channels between 1-15 mm separation				Welch-Satterthwaite corrected t-test (calculated t-values and p-values, then we plotted the voxel-based t-map)		
Study 1	34	Tuebingen	1	Custom: Matlab	Visual Inspection of Time Domain,Manual Selection				"0 subjects; 30 channels were interpolated with surrounding channels and not deleted from analysis"	30	0	CBSI,TDDR			In one subject, task-irrelevant artifacts occurred after the experiment and thus the fNIRS signal was cut at the end.				LowPass,HighPass	"f_hp = 0.02; f_lp = 0.3"	filter_type = FFT		Hemoglobin	PCA	N/A	GLM		OLS (Ordinary Least Squares)			SPM	"peak time = 6; peak dispersion = 1; undershoot time = 16; undershoot dispersion = 1; ratio response to undershoot = 6"				One-tailed t-test,One-Sample t-Test,Paired t-Test	Other	ROI			"as ROIs were defined for the measurement phase (not analysis phase), we used these ROIs as defined in the original paper; channels within each ROI were averaged"	laterality index,beta values provided by GLM	N/A			0.05	None					"Beatrix Barth (data conversion, data preprocessing, data analysis, theoretical consultation)
Ann-Christine Ehlis (data analysis, statistical data analysis, theoretical consultation)
Agnes Kroczek (data analysis, theoretical consultation)
Thomas Dresler (data analysis, validation, statistical data analysis)
Isabell Int-Veen (data analysis, validation, theoretical consultation)
Betti Schopp (data preprocessing, data analysis, validation)
Christina Artemenko (project administration, data analysis, validation, report)"	4	4				"z-transformation for each subject; PCA: sigma = 20"			SPSS		CBSI (i.e., HbO corrected by HbR)	
Study 2	34	Tuebingen	NA																																																													
Study 1	35	uMOVErs_2	1	AnalyzIR	SCI (Scalp-Coupling Index)		SCI_thresh = 0.7		1 subject excluded from dataset #2 (motor). 92 channels excluded from dataset #1 in total (audio, all subjects). 446 channels excluded from dataset #2 in total (motor, all subjects, all sessions). 92+446 = 538 in total, for both datasets, all subjects, all sessions.  Channels were discarded by replacing their data with NaN in dataset #1. In dataset #2, channels were not included in ROI.	92	0	N/A							N/A					Other	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)			Default	Toolbox default (nirs.modules.GLM)	Short Channels		Matlab	Linear Mixed Effects	HbO only	ROI			fOLD	beta values provided by GLM	N/A			0.05	FDR,Benjamini-Hochberg	We used FDR p < 0.05 for all significance tests.				"Alexander Kvist: conceptualization, method, analysis, interpretation
Franziska Albrecht: conceptualization, method, interpretation
Erika Franzén: conceptualization, method"	3	3				SIgnal was cut to 1 second before first stimulus and 1 second after last stimulus, using toolbox function TrimBaseline.						checked
Study 2	35	uMOVErs_2	2	AnalyzIR	SCI (Scalp-Coupling Index)		SCI_thresh = 0.7		1 subject excluded from dataset #2 (motor). 92 channels excluded from dataset #1 in total (audio, all subjects). 446 channels excluded from dataset #2 in total (motor, all subjects, all sessions). 92+446 = 538 in total, for both datasets, all subjects, all sessions.  Channels were discarded by replacing their data with NaN in dataset #1. In dataset #2, channels were not included in ROI.	446	1	N/A							N/A					Other	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)			Default	Toolbox default (nirs.modules.GLM)	Short Channels		Matlab	Linear Mixed Effects	HbO only	ROI			fOLD	beta values provided by GLM	N/A			0.05	FDR,Benjamini-Hochberg	We used FDR p < 0.05 for all significance tests.				"Alexander Kvist: conceptualization, method, analysis, interpretation
Franziska Albrecht: conceptualization, method, interpretation
Erika Franzén: conceptualization, method"	3	3				SIgnal was cut to 1 second before first stimulus and 1 second after last stimulus, using toolbox function TrimBaseline.						checked
Study 1	36	UNICAMP-WESTERN	1	HOMER2,Custom: Matlab	SNR Threshold,Other		SNR_thresh = 8		Motor We discarded 48 long channels and 17 short channels. No subject was removed. Auditory We removed one participant because it did not have at least one good short channel. We discarded 42 short and 29 regular channels. (SNR was defined as the mean intensity divided by the standard deviation).	71	0	Hybrid spline wavelet		"IQR_wavelet = 1.5; custom"	The spline algorithm is a customized and adapted version of the original algorithm proposed by Scholkmann 2010, see Novi-2020 for details of the changes.   Novi-2020, Functional near-infrared spectroscopy for speech protocols: characterization of motion artifacts and guidelines for improving data analysis, Neurophotonics 2020.   Scholkmann-2010, How to detect and reduce movement artifacts in near-infrared imaging using moving standard deviation and spline interpolation, Physiological Measurement 2010. For the spline interpolation, we manually fine tuned the parameter for each run in order to correct for baseline changes (parameter varied from 3 to 5). For the wavelet decomposition, we used iqr = 1.5 (hmrMotionCorrectWavelet function from Homer2). 				LowPass	f_lp = 0.5	"filter_type = butter; filter_order = 3"		Hemoglobin	Other	DPF= [6 6]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)	The order of the model was inferred for each channel with Bayesian Information Criteria.		Gamma		PCA of the Short Channels			One-tailed t-test	HbO and HbR	Channel			We projected the channels in the cortex using AtlasViewer toolbox and checked which of them were in the requested region.	beta values provided by GLM	N/A			0.05	N/A					"Giovani Grisotti Martis (GGM) and Sergio Novi (SN) contributed equally to this work. 

GGM evaluated the quality of the short channels, performed the second-level analysis, summarized the results, plotted and designed the figures. SN fine-tuned parameters for motion correction for each run, preprocessed the data, and performed the first-level analysis. GGM and SN conceptualized the employed workflow, discussed, and wrote the final answers.

"	5	4		Additional visual inspection of power spectrum for short channels.		Motor We removed the borders (first and last 30 seconds) of the time-series.  Auditory We detrend the hemoglobin time series. 						
Study 2	36	UNICAMP-WESTERN	2	HOMER2,Custom: Matlab	SNR Threshold,Other		SNR_thresh = 8		Motor We discarded 48 long channels and 17 short channels. No subject was removed. Auditory We removed one participant because it did not have at least one good short channel. We discarded 42 short and 29 regular channels. (SNR was defined as the mean intensity divided by the standard deviation).	65	0	Hybrid spline wavelet		"IQR_wavelet = 1.5; custom"	The spline algorithm is a customized and adapted version of the original algorithm proposed by Scholkmann 2010, see Novi-2020 for details of the changes.   Novi-2020, Functional near-infrared spectroscopy for speech protocols: characterization of motion artifacts and guidelines for improving data analysis, Neurophotonics 2020.   Scholkmann-2010, How to detect and reduce movement artifacts in near-infrared imaging using moving standard deviation and spline interpolation, Physiological Measurement 2010. For the spline interpolation, we manually fine tuned the parameter for each run in order to correct for baseline changes (parameter varied from 3 to 5). For the wavelet decomposition, we used iqr = 1.5 (hmrMotionCorrectWavelet function from Homer2). 				LowPass	f_lp = 0.5	"filter_type = butter; filter_order = 3"		Hemoglobin	Other	DPF= [6 6]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)	The order of the model was inferred for each channel with Bayesian Information Criteria.		Gamma		PCA of the Short Channels			One-tailed t-test	HbO and HbR	Channel			We projected the channels in the cortex using AtlasViewer toolbox and checked which of them were in the requested region.	beta values provided by GLM	N/A			0.05	N/A					"Giovani Grisotti Martis (GGM) and Sergio Novi (SN) contributed equally to this work. 

GGM evaluated the quality of the short channels, performed the second-level analysis, summarized the results, plotted and designed the figures. SN fine-tuned parameters for motion correction for each run, preprocessed the data, and performed the first-level analysis. GGM and SN conceptualized the employed workflow, discussed, and wrote the final answers.

"	5	4		Additional visual inspection of power spectrum for short channels.		Motor We removed the borders (first and last 30 seconds) of the time-series.  Auditory We detrend the hemoglobin time series. 						
Study 1	37	UNIrsPD	1	HOMER3	SNR Threshold,Other		"SNR_thresh = 5; dRange = 0.01 - 3"				21	Hybrid spline wavelet		"p_spline = 0.99; IQR_wavelet = 0.8"	We used the hybrid approach since there were some step-like artifacts that were not ideal for wavelet				LowPass	f_lp = 3		checked	OD	No	N/A	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)		We used the SS with highest correlation	Consecutive Gaussian	"time range = [-2 15]; stedv = 2; step = 2"	Short Channels		JASP	One-Sample t-Test,Paired t-Test	HbO and HbR	ROI			We used the information provided in the paper to assign channels to ROIs, as in the paper	signal amplitude (windowed)	N/A	Yes, for each channel and condition, we removed subjects having a HRF that was outside the mean+/- 2 times the standard deviation of the group average		0.05	N/A	"I think that the information you provided on the website was not enough to run the analysis. The paper cited for the dataset had to be read to get missing information and this might have biased the analysis steps performed by the users. Furthermore, the ROI division was quite ""mandatory"" given your questions and again it was based entirely on information from that paper. "				"Sabrina Brigadoi - fNIRS data processing, code to create ROIs and extract metrics - statistical analysis
Simone Cutini - discussion about fNIRS data processing, statistical analysis"	5	4		intensity threshold								checked
Study 2	37	UNIrsPD	2	HOMER3	SNR Threshold,Other		"SNR_thresh = 5; dRange = 0.01-3"				12	Wavelet Filter		IQR_wavelet = 0.8					LowPass	f_lp = 3		checked	OD	No	N/A	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)		We used SS with highest correlation	Consecutive Gaussian	"trange = [-2 15]; step = 1; stdev = 1"	Short Channels		JASP	ANOVA,Paired t-Test	HbO and HbR	ROI			Using the information provided in the paper	signal amplitude (windowed)	N/A			0.05	N/A	We did not correct for multiple comparisons because there were no significant comparisons 				"Sabrina Brigadoi - fNIRS signal processing, code to extract metrics and create ROIs, statistical analysis
Simone Cutini - discussion on fNIRS signal processing, statistical analysis"	5	3		intensity threshold								checked
Study 1	38	Universidad Autonoma de San Luis Potosi	1	HOMER3,Custom: Matlab	SNR Threshold		"dRange = [0 1e7]; SNR_thresh = 5; SDrange = 0.45;"		Since subjects had at most 3 channels pruned, no subjects were discarded from the analysis.	15	0	Spline SG		"p_spline = 0.99; FrameSize_sec = 2.5; turnon = 1;"	I used the MotionCorrectSplineSG function in Homer3				LowPass,HighPass	f_hp = 0.01, f_lp = 0.7 			OD	No	PPF = [1.0 1.0]	GLM		OLS (Ordinary Least Squares)		"rho_SD_ssThresh = 15; flagNuisanceRmethod = 1; driftOrder = 3;"	Consecutive Gaussian	"stdev = 1; step = 1;"	Short Channels,Polynomial Drift		Matlab	Wilcoxon signed-rank test	HbO only	ROI			Channels corresponding to each ROI were chosen as described by Luke et al.	signal amplitude (windowed)	Shapiro-Wilk			0.05	None	"Group level procedure
Data from the GLM estimation of the HRF (variable output.dcAvg.timeSeries) were extracted for each participant. Then, the mean time courses of the estimated HRF were computed for each condition (silence, speech, and noise) and for each region of interest ROI (Left Inferior Frontal Gyrus, left and right superior temporal [Heschl's] gyrus, and occipital).  Channels corresponding to each ROI were chosen as described by Luke et al.3. From these averaged time courses baseline conditions were extracted from the average of two seconds before stimulus onset, and the corresponding response was computed as the maximum HbO signal between 5 and 7 seconds post-stimuli onset. 
Normality was not tested with Shapiro-Wilk or any other tests, due to the relatively small sample size (n=17) non-normality was assumed. A Wilcoxon signed rank test was used to determine if there was a significant difference between the median of any two groups involved in the hypotheses under test. This is a non-parametric test, appropriate for paired data. A level of alpha=0.05 was considered for statistical significance. Since a few ROI were chosen a priori, no corrections for false positives were carried out (false-discovery rate, Bonferroni, etc.) 7,8. A two-tailed test was used to assess activation with respect to baseline (hypotheses 1,  4,  6, and 7 ) while one-tailed test was used when a response was expected to be larger in a specific ROI (hypotheses  2, 3, and 5).
REFERENCES
1.	T. J. Huppert et al., “HomER: a review of time-series analysis methods for near-infrared spectroscopy of the brain,” Appl. Opt., AO 48(10), D280–D298, Optical Society of America (2009) [doi:10.1364/AO.48.00D280].
2.	S. Jahani et al., “Motion artifact detection and correction in functional near-infrared spectroscopy: a new hybrid method based on spline interpolation method and Savitzky–Golay filtering,” NPh 5(1), 015003, SPIE (2018) [doi:10.1117/1.NPh.5.1.015003].
3.	R. Luke et al., “Analysis methods for measuring passive auditory fNIRS responses generated by a block-design paradigm,” NPh 8(2), 025008, SPIE (2021) [doi:10.1117/1.NPh.8.2.025008].
4.	J. C. Ye et al., “NIRS-SPM: Statistical parametric mapping for near-infrared spectroscopy,” NeuroImage 44(2), 428–447 (2009) [doi:10.1016/j.neuroimage.2008.08.036].
5.	R. B. Saager and A. J. Berger, “Direct characterization and removal of interfering absorption trends in two-layer turbid media,” J Opt Soc Am A Opt Image Sci Vis 22(9), 1874–1882 (2005) [doi:10.1364/josaa.22.001874].
6.	L. Gagnon et al., “Short separation channel location impacts the performance of short channel regression in NIRS,” Neuroimage 59(3), 2518–2528 (2012) [doi:10.1016/j.neuroimage.2011.08.095].
7.	K. J. Rothman, “No adjustments are needed for multiple comparisons,” Epidemiology 1(1), 43–46 (1990).
8.	D. J. Saville, “Multiple Comparison Procedures: The Practical Solution,” The American Statistician 44(2), 174 (1990) [doi:10.2307/2684163].
9.	S. L. Novi et al., “Integration of Spatial Information Increases Reproducibility in Functional Near-Infrared Spectroscopy,” Frontiers in Neuroscience 14 (2020).
10.	Y. Benjamini and Y. Hochberg, “Controlling the false discovery rate: a practical and powerful approach to multiple testing,” J. Roy. Statist. Soc. Ser. B 57(1), 289–300 (1995) [doi:https://doi.org/10.1111/j.2517-6161.1995.tb02031.x]."				"Edgar Guevara: Formal analysis of the FRESH dataset, custom software for statistical analysis and writing (original draft preparation, review and editing)
José Luis Ramírez-GarcíaLuna: He finished his postdoctoral training before the FRESH project was launched, therefore he did not contribute anything."	3	4									the maximum HbO signal between 5 and 7 seconds post-stimuli onset	
Study 2	38	Universidad Autonoma de San Luis Potosi	2	HOMER3	SNR Threshold		"dRange = [0 1e7]; SNR_thresh = 5; SDrange = 0.45;"		Since subjects had at most 1 channel pruned, no subjects were discarded from the analysis.	2	0	Rejection,Spline SG		"tMotion = 0.5; tMask = 1.0; STDEVthresh = 50; AMPthresh = 5; p_spline = 0.99; FrameSize_sec = 2.5; turnon = 1; tRange = -2.0 10.0"	I used the MotionArtifactByChannel, MotionCorrectSplineSG and StimRejection functions in Homer3				LowPass,HighPass	"f_hp = 0.005; f_lp = 0.5"			OD	No	PPF = [1.0 1.0]	GLM		OLS (Ordinary Least Squares)				"a consecutive sequence of gaussian functions: stdev = 1.0; step = 1.0"	Short Channels,Polynomial Drift		Matlab	Paired t-Test,One-tailed t-test,Two-Sample t-Test	HbO only	Channel			Since this is a channel-by-channel comparison, corrections for false positives were carried out (Benjamini-Hochberg false-discovery rate) 10	signal amplitude (windowed)	Shapiro-Wilk			0.05	Benjamini-Hochberg,FDR	"Group level procedure
Data from the GLM estimation of the HRF (variable output.dcAvg. dataTimeSeries and output.dcAvgStd.dataTimeSeries) were extracted for each participant. Then, the mean time courses of the estimated HRF were computed for each condition (2 sec. left finger-tapping, 3 sec. left finger-tapping, 2 sec. right finger-tapping & 3 sec. right finger-tapping).  From these averaged time courses baseline conditions were extracted from the average of two seconds before stimulus onset, and the corresponding response was computed as the mean HbO signal between 2 and 4 seconds post-stimuli onset in the case of the 2-second stimuli or between 3 and 5 seconds in the case of the stimuli of 3-second duration. 
A paired t-test was used to determine if there was a significant difference between the mean HRF, the mean baseline and their corresponding standard deviations. A level of alpha=0.05 was considered for statistical significance. Since this is a channel-by-channel comparison, corrections for false positives were carried out (Benjamini-Hochberg false-discovery rate) 10. A two-tailed test was used to assess activation with respect to baseline (hypotheses 1,  2 and 3 ) while one-tailed test was used when a response was expected to be larger in a specific condition (hypothesis  4). For the exploratory tests, the two conditions (left and right finger-tapping, both durations combined) were contrasted.
REFERENCES
1.	T. J. Huppert et al., “HomER: a review of time-series analysis methods for near-infrared spectroscopy of the brain,” Appl. Opt., AO 48(10), D280–D298, Optical Society of America (2009) [doi:10.1364/AO.48.00D280].
2.	S. Jahani et al., “Motion artifact detection and correction in functional near-infrared spectroscopy: a new hybrid method based on spline interpolation method and Savitzky–Golay filtering,” NPh 5(1), 015003, SPIE (2018) [doi:10.1117/1.NPh.5.1.015003].
3.	R. Luke et al., “Analysis methods for measuring passive auditory fNIRS responses generated by a block-design paradigm,” NPh 8(2), 025008, SPIE (2021) [doi:10.1117/1.NPh.8.2.025008].
4.	J. C. Ye et al., “NIRS-SPM: Statistical parametric mapping for near-infrared spectroscopy,” NeuroImage 44(2), 428–447 (2009) [doi:10.1016/j.neuroimage.2008.08.036].
5.	R. B. Saager and A. J. Berger, “Direct characterization and removal of interfering absorption trends in two-layer turbid media,” J Opt Soc Am A Opt Image Sci Vis 22(9), 1874–1882 (2005) [doi:10.1364/josaa.22.001874].
6.	L. Gagnon et al., “Short separation channel location impacts the performance of short channel regression in NIRS,” Neuroimage 59(3), 2518–2528 (2012) [doi:10.1016/j.neuroimage.2011.08.095].
7.	K. J. Rothman, “No adjustments are needed for multiple comparisons,” Epidemiology 1(1), 43–46 (1990).
8.	D. J. Saville, “Multiple Comparison Procedures: The Practical Solution,” The American Statistician 44(2), 174 (1990) [doi:10.2307/2684163].
9.	S. L. Novi et al., “Integration of Spatial Information Increases Reproducibility in Functional Near-Infrared Spectroscopy,” Frontiers in Neuroscience 14 (2020).
10.	Y. Benjamini and Y. Hochberg, “Controlling the false discovery rate: a practical and powerful approach to multiple testing,” J. Roy. Statist. Soc. Ser. B 57(1), 289–300 (1995) [doi:https://doi.org/10.1111/j.2517-6161.1995.tb02031.x].

"				"Edgar Guevara: Formal analysis of the FRESH dataset, custom software for statistical analysis and Writing (Original draft preparation, review and editing)
José Luis Ramírez-GarcíaLuna: He finished his postdoctoral training before the FRESH project was launched, therefore he did not contribute anything."	3	4						"rho_SD_ssThresh = 15; flagNuisanceRmethod = 1; driftOrder = 3;"				
